work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
2023,EN,FT,Applied_Scientist,213660,USD,213660,US,L
2023,EN,FT,Applied_Scientist,130760,USD,130760,US,L
2023,EN,FT,Data_Quality_Analyst,100000,USD,100000,NG,L
2023,EN,FT,Compliance_Data_Analyst,30000,USD,30000,NG,L
2023,EN,FT,Applied_Scientist,204620,USD,204620,US,L
2023,EN,FT,Applied_Scientist,110680,USD,110680,US,L
2023,EN,FT,Machine_Learning_Engineer,163196,USD,163196,US,M
2023,EN,FT,Machine_Learning_Engineer,145885,USD,145885,US,M
2023,EN,FT,Research_Scientist,220000,USD,220000,US,L
2023,EN,FT,Data_Engineer,85000,USD,85000,US,M
2023,EN,FT,Data_Engineer,65000,USD,65000,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,Data_Analyst,70000,USD,70000,US,M
2023,EN,FT,Data_Analyst,85000,USD,,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,Data_Engineer,1400000,INR,17022,IN,L
2023,EN,FT,Data_Engineer,85000,,85000,US,M
2023,EN,FT,Data_Engineer,65000,,65000,US,M
2023,EN,FT,Data_Analyst,55000,CAD,40663,CA,L
2023,EN,FT,Data_Scientist,70000,CAD,51753,CA,L
2023,EN,FT,Data_Scientist,130001,,130001,US,M
2023,EN,FT,Data_Scientist,71907,USD,71907,US,M
2023,EN,FT,Data_Engineer,85000,USD,85000,US,M
2023,EN,FT,Data_Engineer,65000,USD,65000,US,M
2023,EN,FT,Applied_Scientist,213660,USD,213660,US,L
2023,EN,FT,Applied_Scientist,130760,,130760,US,L
2023,EN,FT,BI_Data_Engineer,60000,USD,60000,US,M
2023,EN,FT,Data_Engineer,85000,USD,85000,US,M
2023,EN,FT,Data_Engineer,65000,USD,65000,US,M
2023,EN,FT,Research_Engineer,155000,USD,155000,US,M
2023,EN,FT,Research_Engineer,125000,,125000,US,M
2023,EN,FT,Research_Engineer,155000,USD,155000,US,M
2023,EN,FT,Research_Engineer,125000,USD,125000,US,M
2023,EN,FT,Data_Analyst,64200,USD,64200,US,M
2023,EN,FT,Data_Analyst,56100,USD,56100,US,M
2023,EN,FT,Data_Engineer,92700,USD,92700,US,M
2023,EN,FT,Data_Engineer,61800,USD,61800,US,M
2023,EN,FT,Business_Data_Analyst,20000,EUR,21461,ES,M
2023,EN,FT,Research_Engineer,160000,USD,160000,US,M
2023,EN,FT,Research_Engineer,120000,USD,120000,US,M
2023,EN,FT,Autonomous_Vehicle_Technician,7000,USD,7000,GH,S
2023,EN,FT,Applied_Machine_Learning_Scientist,40000,EUR,42923,DE,M
2023,EN,FT,Data_Scientist,190000,,190000,US,M
2023,EN,FT,Data_Scientist,120000,USD,120000,US,M
2023,EN,FT,Data_Scientist,112000,CHF,121093,CH,L
2023,EN,FT,Data_Analyst,85000,USD,85000,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,Data_Engineer,92700,USD,92700,US,M
2023,EN,FT,Data_Engineer,61800,USD,61800,US,M
2023,EN,FT,Data_Engineer,62000,,62000,US,M
2023,EN,FT,Data_Engineer,58000,USD,58000,US,M
2023,EN,FT,Data_Engineer,125000,USD,125000,US,M
2023,EN,FT,Data_Engineer,90000,USD,90000,US,M
2023,EN,FT,,95000,USD,95000,US,M
2023,EN,FT,Data_Analyst,70000,,70000,US,M
2023,EN,FT,Data_Engineer,115100,USD,115100,US,M
2023,EN,FT,Data_Engineer,73900,USD,73900,US,M
2023,EN,FT,AI_Programmer,70000,USD,70000,AU,L
2023,EN,FT,AI_Developer,80000,,80000,SE,M
2023,EN,FT,Research_Scientist,150000,USD,150000,US,M
2023,EN,FT,Research_Scientist,100000,USD,100000,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,,60000,USD,60000,US,M
2023,EN,FT,Data_Engineer,125000,USD,125000,US,M
2023,EN,FT,Data_Engineer,90000,USD,90000,US,M
2023,EN,FT,AI_Developer,200000,EUR,214618,DE,L
2023,EN,FT,Data_Analyst,100000,USD,100000,US,L
2023,EN,FT,Data_Analyst,150000,USD,150000,US,M
2023,EN,FT,Data_Analyst,100000,USD,100000,US,M
2023,EN,FT,Research_Scientist,150000,USD,150000,US,M
2023,EN,FT,Research_Scientist,100000,USD,100000,US,M
2023,EN,FT,Data_Analyst,85000,USD,85000,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,,30000,USD,30000,IN,M
2023,EN,FT,Computer_Vision_Engineer,220000,USD,220000,US,M
2023,EN,FT,AI_Developer,60000,EUR,64385,DE,M
2023,EN,FT,Data_Analyst,55000,USD,55000,US,M
2023,EN,FT,Data_Analyst,48000,USD,48000,US,M
2023,EN,PT,Data_Analyst,78000,PLN,17779,IN,L
2023,EN,FT,Data_Scientist,101400,BRL,19522,BR,L
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,Data_Analyst,60000,USD,60000,US,M
2023,EN,FT,Research_Engineer,120000,USD,120000,GB,M
2023,EN,FT,Research_Engineer,60000,USD,60000,GB,M
2023,EN,FT,,60000,USD,60000,US,L
2023,EN,FT,Data_Analyst,50000,USD,50000,US,L
2023,EN,FT,Data_Scientist,800000,INR,9727,IN,L
2023,EN,FT,Data_Analyst,85000,USD,85000,US,M
2023,EN,FT,Data_Analyst,75000,USD,75000,US,M
2023,EN,FT,Data_Engineer,12000,USD,12000,VN,L
2023,EN,FT,Data_Analyst,55000,USD,55000,US,M
2023,EN,FT,Data_Analyst,48000,USD,48000,US,M
2023,EN,FT,Data_Analyst,100000,USD,100000,US,M
2023,EN,FT,Data_Scientist,110000,USD,110000,US,S
2023,EN,FT,Data_Scientist,1050000,INR,12767,IN,L
2023,EN,FT,Data_Engineer,25000,EUR,26827,DE,L
2023,EN,FT,BI_Developer,160000,USD,160000,US,M
2023,EN,FT,BI_Developer,100000,USD,100000,US,M
2023,EN,FT,Big_Data_Engineer,130000,USD,130000,SE,S
2023,EN,FT,Data_Engineer,160000,USD,160000,US,M
2023,EN,FT,Data_Engineer,135000,USD,135000,US,M
